City,colYear,colMonth,aVG(ArrTime)
Albany,1993,10,1399.3529
Albany,2006,1,1502.8261
Allentown,1990,1,1786.8000
Allentown,1991,7,1446.5556
Arlington,1993,3,1736.6471
Arlington,1992,8,1690.1176
Asheville,1994,2,1459.1250
Atlanta,2005,2,1744.8182
Atlanta,1993,4,1483.6471
Atlanta,2005,7,1375.4000
Atlanta,2005,12,1458.6522
Atlanta,2004,6,1533.9167
Atlanta,1994,6,1400.1176
Atlanta,2007,3,1633.4231
Atlanta,1992,4,1406.7059
Augusta,1988,3,1585.2778
Augusta,2003,9,1191.1364
Austin,2008,4,1388.0870
Austin,1995,7,1605.5000
Austin,1997,3,1214.6316
Austin,2000,8,1368.9500
Austin,1999,9,1435.4444
Baltimore,1988,9,1545.1176
Baltimore,1990,12,1593.3529
Baltimore,2006,12,1368.2083
Baltimore,1989,10,1451.0625
Birmingham,1988,2,1409.8125
Birmingham,1994,11,1442.8235
Boston,1997,5,1533.7778
Boston,1989,5,1605.8125
Boston,1998,2,1398.0625
Boston,2005,9,1385.9565
Buffalo,1997,12,1297.4444
Chantilly,2004,7,1422.5833
Charleston,1995,11,1417.8824
Charleston,1990,2,1264.9231
Charlotte,1996,5,1443.2222
Charlotte,1991,9,1547.1250
Charlotte,1991,5,1591.6250
Charlotte,1996,3,1465.7222
Charlotte,1997,10,1506.4737
Charlotte,1993,9,1365.8235
Charlotte,1995,12,1454.4444
Charlotte,1988,5,1565.1667
Charlotte,1988,1,1482.5294
"Charlotte Amalie",1994,7,1746.7059
"Charlotte Amalie",2005,10,1593.4583
Charlottesville,1987,10,1468.8824
Chicago,2007,10,1678.6000
Chicago,1994,1,1718.5000
Chicago,2006,10,1689.0400
Chicago,2005,11,1438.5909
Chicago,1998,3,1356.2222
Chicago,1990,4,1400.8824
Chicago,2007,8,1504.6000
Chicago,2002,6,1532.0556
Cleveland,2000,4,1577.4211
"Colorado Springs",1995,4,1501.5556
"Colorado Springs",1988,11,1422.5294
"Colorado Springs",1990,5,1346.8333
"Colorado Springs",1992,11,1659.6250
"Colorado Springs",1999,7,1561.2632
Columbia,1999,2,1546.6875
Columbia,1989,2,1466.6250
Columbia,1998,10,1579.3889
Columbus,2008,2,1236.8696
Covington,1992,7,1678.3889
Covington,2005,6,1351.1200
Covington,2003,5,1456.6667
Covington,1992,9,1446.1176
Covington,2001,11,1565.3333
Dallas,1998,12,1404.2222
Dallas,1990,8,1262.8333
Dallas,1992,3,1616.2941
"Dallas-Fort Worth",2003,6,1532.7727
"Dallas-Fort Worth",1993,6,1468.6471
"Dallas-Fort Worth",1996,10,1490.2778
"Dallas-Fort Worth",2001,8,1364.8182
"Dallas-Fort Worth",2003,11,1524.9524
"Dallas-Fort Worth",2001,5,1308.0000
Dayton,1990,3,1459.8889
Denver,2008,9,1484.6818
Denver,2008,8,1630.3750
Denver,1993,11,1408.8750
Detroit,2003,7,1682.5455
Detroit,2004,8,1630.6000
Detroit,2005,3,1566.8400
"El Paso",1990,11,1451.3529
Evansville,2002,2,1297.7143
Flint,2000,5,1524.1053
"Fort Wayne",2007,6,1303.3846
"Fort Wayne",1996,6,1426.0588
"Fort Wayne",1991,1,1487.2353
"Fort Wayne",2000,6,1534.8421
"Ft. Lauderdale",1991,12,1475.6471
"Ft. Lauderdale",1989,9,1551.3529
"Ft. Lauderdale",2000,7,1479.3684
"Ft. Lauderdale",1994,3,1560.1176
"Grand Rapids",1994,12,1682.5000
"Grand Rapids",2006,11,1341.7826
"Grand Rapids",1998,8,1286.9444
Greensboro,1997,6,1577.2222
Greensboro,1998,5,1645.1667
Greensboro,2000,2,1657.6111
Greensboro,2004,3,1482.7917
Greer,1996,1,1484.0000
Greer,1999,12,1444.4211
Greer,1998,7,1425.4737
Hilo,2000,11,1450.2632
Honolulu,2007,9,1385.0833
Honolulu,2008,11,1402.0476
Honolulu,2001,7,1836.6000
Honolulu,2007,11,1533.5000
Honolulu,1996,7,1338.7368
Houston,1990,7,1386.3889
Houston,1990,10,1606.2222
Houston,2007,7,1336.5769
Houston,1998,11,1428.2778
Houston,1997,4,1541.3333
Houston,2007,4,1359.7083
Houston,1991,11,1510.6875
Huntsville,2005,1,1535.4783
"Idaho Falls",2003,1,1329.1905
Indianapolis,1995,2,1579.8824
Indianapolis,2000,10,1784.7000
Islip,1994,4,1566.6471
Jackson,1993,12,1723.2941
Kahului,2000,12,1506.6316
Kahului,2004,11,1629.9091
Kahului,2007,12,1506.1600
Kailua/Kona,2008,6,1549.4000
Knoxville,1999,3,1750.5789
Kotzebue,1997,2,1430.5000
Lansing,1997,9,1532.7222
Lansing,1996,9,1541.0000
"Las Vegas",2002,11,1524.0000
"Las Vegas",2000,9,1655.7778
Lexington,2005,4,1320.5417
Lincoln,1988,8,1608.5556
"Little Rock",1991,10,1467.3333
"Los Angeles",2004,12,1556.2000
"Los Angeles",2004,10,1544.1250
"Los Angeles",2003,12,1541.6364
"Los Angeles",2003,10,1437.6818
"Los Angeles",2007,2,1532.0870
"Los Angeles",2006,6,1449.4583
"Los Angeles",2001,1,1407.0000
"Los Angeles",1993,7,1406.5556
"Los Angeles",2001,9,1656.0000
"Los Angeles",2001,4,1463.2222
"Los Angeles",2006,8,1548.4000
"Los Angeles",2003,4,1586.4762
Louisville,1997,8,1569.5000
Macon,2004,5,1422.0833
Madison,2001,10,1582.3333
Madison,2001,3,1737.7778
Madison,1989,4,1613.9412
Melbourne,1991,6,1581.1765
Memphis,1994,9,1521.9412
Memphis,1990,6,1641.1111
Memphis,2008,1,1544.0417
Miami,2001,2,1340.2222
Miami,2002,4,1340.3529
Miami,2001,12,1420.8333
Midland,1987,12,1400.6111
Milwaukee,1993,8,1342.8750
Minneapolis,2002,10,1641.7222
Minneapolis,2003,8,1385.3182
Minneapolis,1999,1,1449.0000
Monroe,1995,3,1492.7222
Monterey,2004,2,1634.6364
Monterey,1994,8,1562.3158
Montgomery,1992,2,1328.5333
"Myrtle Beach",1999,8,1459.9474
NA,1989,12,1498.1176
NA,1988,6,1468.9412
"New York",1988,7,1579.4444
"New York",2002,12,1485.8235
"New York",1994,10,1520.1667
"New York",2008,10,1381.0909
Newark,2000,3,1447.6316
Newark,1998,4,1539.6667
Newark,1992,12,1637.1176
Newark,1988,4,1616.8824
Norfolk,1988,10,1537.5882
"Oklahoma City",1990,9,1528.7222
Orlando,2002,3,1388.3889
Orlando,2008,12,1730.9091
Orlando,1997,7,1372.4211
Orlando,1998,6,1432.0000
Oxnard,2004,4,1397.3913
"Palm Springs",2007,5,1473.6800
Philadelphia,2006,9,1405.8696
Philadelphia,2002,7,1512.8421
Philadelphia,1993,2,1493.3125
Phoenix,2006,2,1365.7143
Phoenix,1999,11,1575.9444
Phoenix,2002,8,1649.3684
Phoenix,1996,2,1274.1250
Phoenix,1994,5,1730.2941
Pittsburgh,1989,6,1525.6250
Pittsburgh,1992,1,1502.7059
Pittsburgh,1992,5,1526.4118
Pittsburgh,1997,1,1329.2222
Pittsburgh,1999,10,1312.9500
Pittsburgh,1991,2,1710.9286
Pittsburgh,1996,11,1555.8235
Portland,1989,1,1499.4706
Portland,1991,3,1398.2941
Providence,2005,5,1583.0833
Pueblo,1991,8,1634.9444
Raleigh,1989,7,1640.2941
Raleigh,1999,6,1634.8235
Raleigh,1992,6,1575.7647
Reno,1993,1,1340.8125
Reno,1998,1,1603.1111
Reno,1996,8,1483.2778
Richmond,1995,8,1718.0000
Roanoke,1995,9,1430.8824
Rochester,1989,11,1451.8125
Rochester,1996,12,1467.5789
"Salt Lake City",2004,1,1420.0870
"San Antonio",1987,11,1431.4706
"San Antonio",1992,10,1462.7222
"San Diego",2000,1,1488.4444
"San Diego",1991,4,1552.2941
"San Diego",2002,1,1646.2000
"San Diego",2006,3,1481.6250
"San Diego",2003,2,1403.3158
"San Diego",2004,9,1319.7083
"San Diego",2008,7,1320.0400
"San Francisco",2003,3,1380.6818
"San Francisco",1995,10,1653.3333
"San Jose",2006,5,1491.6250
"San Luis Obispo",2005,8,1489.8000
"San Luis Obispo",2006,7,1682.5200
Sarasota,1988,12,1166.3529
Savannah,1993,5,1589.2941
Seattle,1995,1,1604.0588
Seattle,1996,4,1481.8889
Seattle,2002,5,1475.3333
Shreveport,2001,6,1621.2000
"Sioux Falls",1999,4,1355.2778
Sitka,2008,5,1744.4167
Springfield,2008,3,1447.0833
"St Louis",1995,6,1576.3529
Syracuse,1999,5,1472.1579
Texarkana,2002,9,1597.9412
Toledo,1997,11,1659.1176
Tucson,1995,5,1341.5000
"West Palm Beach",1989,8,1652.4706
"Wichita Falls",2006,4,1521.9167
Wrangell,1989,3,1397.8750
Wrangell,1998,9,1417.6111
Yuma,2007,1,1626.1250
